type,distribution,algorithm,n,batch,reps,median_ns_total,min_ns_total,ns_per_elem
i64,few_unique,fulcrum,1048576,1,5,463771.0,458960.0,0.4423
i64,few_unique,block_simd_amd,1048576,1,5,401229.0,398769.0,0.3826
i64,few_unique,sized,1048576,1,5,502531.0,498322.0,0.4793
i64,few_unique,std_partition,4194304,1,5,6915339.0,6907709.0,1.6487
i64,few_unique,lomuto,4194304,1,5,5507777.0,5495556.0,1.3132
i64,few_unique,lomuto_branchless,4194304,1,5,3047200.0,2933818.0,0.7265
i64,few_unique,hoare,4194304,1,5,7440261.0,7403340.0,1.7739
i64,few_unique,hoare_guarded,4194304,1,5,7339248.0,7323748.0,1.7498
i64,few_unique,block,4194304,1,5,2760434.0,2739473.0,0.6581
i64,few_unique,boost_block,4194304,1,5,2172380.0,2161709.0,0.5179
i64,few_unique,fulcrum,4194304,1,5,2236821.0,2225401.0,0.5333
i64,few_unique,block_simd_amd,4194304,1,5,2061277.0,2050437.0,0.4914
i64,few_unique,sized,4194304,1,5,2345864.0,2186260.0,0.5593
i64,all_equal,std_partition,4,16384,64,41581.0,34701.0,0.6345
i64,all_equal,lomuto,4,16384,64,38291.0,36610.0,0.5843
i64,all_equal,lomuto_branchless,4,16384,64,40801.0,40471.0,0.6226
i64,all_equal,hoare,4,16384,64,28351.0,28230.0,0.4326
i64,all_equal,hoare_guarded,4,16384,64,35371.0,35160.0,0.5397
i64,all_equal,block,4,16384,64,35271.0,35190.0,0.5382
i64,all_equal,boost_block,4,16384,64,31521.0,31450.0,0.4810
i64,all_equal,fulcrum,4,16384,64,31561.0,31491.0,0.4816
i64,all_equal,block_simd_amd,4,16384,64,31581.0,31521.0,0.4819
i64,all_equal,sized,4,16384,64,42761.0,42371.0,0.6525
i64,all_equal,std_partition,8,8192,64,24731.0,24690.0,0.3774
i64,all_equal,lomuto,8,8192,64,33241.0,33211.0,0.5072
i64,all_equal,lomuto_branchless,8,8192,64,38761.0,38661.0,0.5914
i64,all_equal,hoare,8,8192,64,22991.0,22910.0,0.3508
i64,all_equal,hoare_guarded,8,8192,64,24730.0,24570.0,0.3773
i64,all_equal,block,8,8192,64,34731.0,26370.0,0.5300
i64,all_equal,boost_block,8,8192,64,24530.0,24470.0,0.3743
i64,all_equal,fulcrum,8,8192,64,24590.0,24530.0,0.3752
i64,all_equal,block_simd_amd,8,8192,64,24610.0,24521.0,0.3755
i64,all_equal,sized,8,8192,64,39650.0,39101.0,0.6050
i64,all_equal,std_partition,16,4096,64,20390.0,20320.0,0.3111
i64,all_equal,lomuto,16,4096,64,32560.0,32540.0,0.4968
i64,all_equal,lomuto_branchless,16,4096,64,38281.0,38041.0,0.5841
i64,all_equal,hoare,16,4096,64,14250.0,14181.0,0.2174
i64,all_equal,hoare_guarded,16,4096,64,36591.0,36191.0,0.5583
i64,all_equal,block,16,4096,64,14931.0,14890.0,0.2278
i64,all_equal,boost_block,16,4096,64,28901.0,28830.0,0.4410
i64,all_equal,fulcrum,16,4096,64,35271.0,35141.0,0.5382
i64,all_equal,block_simd_amd,16,4096,64,30981.0,30731.0,0.4727
i64,all_equal,sized,16,4096,64,39141.0,39010.0,0.5972
i64,all_equal,std_partition,24,2730,64,17251.0,17170.0,0.2633
i64,all_equal,lomuto,24,2730,64,32820.0,32791.0,0.5009
i64,all_equal,lomuto_branchless,24,2730,64,38121.0,38051.0,0.5818
i64,all_equal,hoare,24,2730,64,12000.0,11870.0,0.1832
i64,all_equal,hoare_guarded,24,2730,64,24051.0,23910.0,0.3671
i64,all_equal,block,24,2730,64,12400.0,12351.0,0.1893
i64,all_equal,boost_block,24,2730,64,24070.0,23911.0,0.3674
i64,all_equal,fulcrum,24,2730,64,29401.0,29330.0,0.4487
i64,all_equal,block_simd_amd,24,2730,64,25270.0,25171.0,0.3857
i64,all_equal,sized,24,2730,64,38801.0,38561.0,0.5922
i64,all_equal,std_partition,64,1024,64,13310.0,13190.0,0.2031
i64,all_equal,lomuto,64,1024,64,33851.0,33840.0,0.5165
i64,all_equal,lomuto_branchless,64,1024,64,38121.0,38031.0,0.5817
i64,all_equal,hoare,64,1024,64,9370.0,9010.0,0.1430
i64,all_equal,hoare_guarded,64,1024,64,13130.0,13001.0,0.2003
i64,all_equal,block,64,1024,64,9080.0,8940.0,0.1385
i64,all_equal,boost_block,64,1024,64,18481.0,18300.0,0.2820
i64,all_equal,fulcrum,64,1024,64,23011.0,22711.0,0.3511
i64,all_equal,block_simd_amd,64,1024,64,19210.0,19090.0,0.2931
i64,all_equal,sized,64,1024,64,38051.0,37921.0,0.5806
i64,all_equal,std_partition,256,256,64,12801.0,12771.0,0.1953
i64,all_equal,lomuto,256,256,64,29311.0,29271.0,0.4473
i64,all_equal,lomuto_branchless,256,256,64,38561.0,38410.0,0.5884
i64,all_equal,hoare,256,256,64,9000.0,8920.0,0.1373
i64,all_equal,hoare_guarded,256,256,64,12670.0,12580.0,0.1933
i64,all_equal,block,256,256,64,8950.0,8870.0,0.1366
i64,all_equal,boost_block,256,256,64,17920.0,17850.0,0.2734
i64,all_equal,fulcrum,256,256,64,32961.0,32771.0,0.5029
i64,all_equal,block_simd_amd,256,256,64,18091.0,18000.0,0.2760
i64,all_equal,sized,256,256,64,38721.0,38490.0,0.5908
i64,all_equal,std_partition,1024,64,64,11221.0,11190.0,0.1712
i64,all_equal,lomuto,1024,64,64,28510.0,28440.0,0.4350
i64,all_equal,lomuto_branchless,1024,64,64,38231.0,38110.0,0.5834
i64,all_equal,hoare,1024,64,64,8060.0,7990.0,0.1230
i64,all_equal,hoare_guarded,1024,64,64,11180.0,11121.0,0.1706
i64,all_equal,block,1024,64,64,30731.0,30631.0,0.4689
i64,all_equal,boost_block,1024,64,64,15091.0,15040.0,0.2303
i64,all_equal,fulcrum,1024,64,64,29671.0,29480.0,0.4527
i64,all_equal,block_simd_amd,1024,64,64,15280.0,15210.0,0.2332
i64,all_equal,sized,1024,64,64,15170.0,15060.0,0.2315
i64,all_equal,std_partition,4096,16,64,10800.0,10780.0,0.1648
i64,all_equal,lomuto,4096,16,64,28091.0,28080.0,0.4286
i64,all_equal,lomuto_branchless,4096,16,64,38031.0,37781.0,0.5803
i64,all_equal,hoare,4096,16,64,7470.0,7420.0,0.1140
i64,all_equal,hoare_guarded,4096,16,64,10760.0,10730.0,0.1642
i64,all_equal,block,4096,16,64,31651.0,31521.0,0.4830
i64,all_equal,boost_block,4096,16,64,14400.0,14370.0,0.2197
i64,all_equal,fulcrum,4096,16,64,29371.0,29161.0,0.4482
i64,all_equal,block_simd_amd,4096,16,64,14491.0,14450.0,0.2211
i64,all_equal,sized,4096,16,64,14441.0,14420.0,0.2204
i64,all_equal,std_partition,65536,1,64,10630.0,10610.0,0.1622
i64,all_equal,lomuto,65536,1,64,27991.0,27970.0,0.4271
i64,all_equal,lomuto_branchless,65536,1,64,37941.0,37751.0,0.5789
i64,all_equal,hoare,65536,1,64,8491.0,7140.0,0.1296
i64,all_equal,hoare_guarded,65536,1,64,10590.0,10530.0,0.1616
i64,all_equal,block,65536,1,64,31581.0,31451.0,0.4819
i64,all_equal,boost_block,65536,1,64,14071.0,13960.0,0.2147
i64,all_equal,fulcrum,65536,1,64,28891.0,28600.0,0.4408
i64,all_equal,block_simd_amd,65536,1,64,14141.0,14070.0,0.2158
i64,all_equal,sized,65536,1,64,14151.0,14061.0,0.2159
i64,all_equal,std_partition,262144,1,16,42761.0,42521.0,0.1631
i64,all_equal,lomuto,262144,1,16,112172.0,111842.0,0.4279
i64,all_equal,lomuto_branchless,262144,1,16,152204.0,151044.0,0.5806
i64,all_equal,hoare,262144,1,16,56331.0,56321.0,0.2149
i64,all_equal,hoare_guarded,262144,1,16,42281.0,41831.0,0.1613
i64,all_equal,block,262144,1,16,126493.0,125673.0,0.4825
