type,case,algo,n,k,delta,total_ops,samples,min_ns,p50_ns,p90_ns,mean_ns,cv_pct
i64,b,sort_network,7,3,4,5008670,535,2.317,2.343,2.366,2.362,5.33
i64,b,std::inplace_merge,7,3,4,5008670,535,25.593,25.861,26.234,25.930,1.13
i64,b,std::merge,7,3,4,5008670,535,17.046,17.323,17.693,17.393,1.78
i64,a,extend_sorted,7,1,6,5008670,535,32.967,33.702,34.182,33.746,1.08
i64,a,extend_scan,7,1,6,5008670,535,44.843,45.546,46.022,45.583,1.00
i64,a,extend_bsearch,7,1,6,5008670,535,57.141,57.790,58.234,57.872,1.36
i64,a,sort_network,7,1,6,5008670,535,2.311,2.330,2.350,2.351,4.44
i64,a,std::sort,7,1,6,5008670,535,35.934,36.471,36.967,36.528,0.99
i64,b,extend_sorted,7,1,6,5008670,535,10.269,10.405,10.781,10.484,2.07
i64,b,merge_sorted,7,1,6,5008670,535,11.388,11.609,11.980,11.659,1.43
i64,b,merge_branchless,7,1,6,5008670,535,16.641,17.114,17.493,17.171,1.64
i64,b,sort_network,7,1,6,5008670,535,2.318,2.338,2.367,2.356,3.10
i64,b,std::inplace_merge,7,1,6,5008670,535,16.045,16.327,17.147,16.526,4.05
i64,b,std::merge,7,1,6,5008670,535,10.293,10.385,10.757,10.472,3.36
i64,a,extend_sorted,8,7,1,5005312,611,6.273,6.377,6.432,6.414,2.66
i64,a,extend_scan,8,7,1,5005312,611,9.208,9.365,9.440,9.408,2.17
i64,a,extend_bsearch,8,7,1,5005312,611,12.465,12.641,12.874,12.727,7.69
i64,a,sort_network,8,7,1,5005312,611,4.577,4.627,4.647,4.644,2.06
i64,a,std::sort,8,7,1,5005312,611,14.026,14.197,14.651,14.273,2.36
i64,b,extend_sorted,8,7,1,5005312,611,6.306,6.393,6.439,6.426,2.58
i64,b,merge_sorted,8,7,1,5005312,611,8.860,8.953,9.480,9.078,3.09
i64,b,merge_branchless,8,7,1,5005312,611,15.234,15.424,15.852,15.504,1.98
i64,b,sort_network,8,7,1,5005312,611,4.569,4.612,4.634,4.631,2.17
i64,b,std::inplace_merge,8,7,1,5005312,611,16.449,16.813,17.227,16.879,2.16
i64,b,std::merge,8,7,1,5005312,611,10.432,10.584,10.816,10.636,2.07
i64,a,extend_sorted,8,6,2,5005312,611,12.089,12.593,12.956,12.637,2.05
i64,a,extend_scan,8,6,2,5005312,611,17.187,17.497,17.950,17.585,1.95
