type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
i64,few_unique,0.90,4194304,fwd_sample,0.8115,0.480,1.8775,1.8775
i64,few_unique,0.90,4194304,sample,0.5319,0.480,1.2306,1.2306
i64,few_unique,0.90,4194304,part_until,0.7019,0.738,1.0568,2.9770
i64,few_unique,0.90,4194304,rev_part_until,0.5297,0.738,0.7976,2.2467
pair64,random_uniform,0.10,65536,ref,5.8305,0.500,116.6383,116.6383
pair64,random_uniform,0.10,65536,count_select,2.5377,0.500,50.7656,50.7656
pair64,random_uniform,0.10,65536,fwd_key_select,0.9088,0.500,18.1813,18.1813
pair64,random_uniform,0.10,65536,key_select,0.8979,0.500,17.9618,17.9618
pair64,random_uniform,0.10,65536,rev_count_select,2.6290,0.500,52.5937,52.5937
pair64,random_uniform,0.10,65536,key_one_part,0.8219,0.529,15.5356,17.4537
pair64,random_uniform,0.10,65536,fwd_sample,0.7444,0.527,14.1315,15.7311
pair64,random_uniform,0.10,65536,sample,0.7468,0.527,14.1779,15.7827
pair64,random_uniform,0.10,65536,part_until,1.8035,0.426,42.3486,42.3486
pair64,random_uniform,0.10,65536,rev_part_until,2.0104,0.759,26.4889,83.4427
pair64,random_uniform,0.10,262144,ref,5.9019,0.500,118.0488,118.0488
pair64,random_uniform,0.10,262144,count_select,1.9328,0.500,38.6604,38.6604
pair64,random_uniform,0.10,262144,fwd_key_select,0.9066,0.500,18.1330,18.1330
pair64,random_uniform,0.10,262144,key_select,0.9155,0.500,18.3122,18.3122
pair64,random_uniform,0.10,262144,rev_count_select,2.0632,0.500,41.2684,41.2684
pair64,random_uniform,0.10,262144,key_one_part,0.8309,0.476,17.4388,17.4388
pair64,random_uniform,0.10,262144,fwd_sample,0.7398,0.596,12.4170,18.3056
pair64,random_uniform,0.10,262144,sample,0.7369,0.596,12.3690,18.2348
pair64,random_uniform,0.10,262144,part_until,1.3401,0.912,14.6898,152.9412
pair64,random_uniform,0.10,262144,rev_part_until,1.4752,0.964,15.3054,408.7812
pair64,random_uniform,0.10,1048576,ref,6.5490,0.500,130.9824,130.9824
pair64,random_uniform,0.10,1048576,count_select,2.4361,0.500,48.7234,48.7234
pair64,random_uniform,0.10,1048576,fwd_key_select,1.0202,0.500,20.4043,20.4043
pair64,random_uniform,0.10,1048576,key_select,0.9185,0.500,18.3694,18.3694
pair64,random_uniform,0.10,1048576,rev_count_select,2.0753,0.500,41.5073,41.5073
